product_id,product_name,unit_price,category
PROD-0001,Product UH-179,2.42,Hardware
PROD-0002,Product GS-192,57.68,Hardware
PROD-0003,Product HY-499,26.19,Services
PROD-0004,Product QS-878,48.02,Consumables
PROD-0005,Product OV-577,38.92,Electronics
PROD-0006,Product BB-538,20.86,Hardware
PROD-0007,Product ZM-993,11.74,Services
PROD-0008,Product WQ-258,79.78,Hardware
PROD-0009,Product JN-487,31.96,Hardware
PROD-0010,Product VI-457,85.09,Services
PROD-0011,Product MF-256,24.88,Services
PROD-0012,Product CB-597,38.45,Software
PROD-0013,Product MF-709,16.37,Consumables
PROD-0014,Product EI-208,12.76,Hardware
PROD-0015,Product YI-422,71.02,Software
PROD-0016,Product GH-606,42.41,Consumables
PROD-0017,Product QI-503,43.07,Consumables
PROD-0018,Product ZV-173,10.75,Electronics
PROD-0019,Product AO-564,298.86,Software
PROD-0020,Product GT-364,106.62,Services
PROD-0021,Product NH-101,127.66,Services
PROD-0022,Product JK-597,240.32,Electronics
PROD-0023,Product QE-107,41.35,Hardware
PROD-0024,Product VV-262,77.43,Consumables
PROD-0025,Product DA-730,111.05,Services
PROD-0026,Product HP-741,13.8,Consumables
PROD-0027,Product KU-522,19.05,Hardware
PROD-0028,Product ZE-262,22.83,Software
PROD-0029,Product CR-170,36.27,Consumables
PROD-0030,Product OF-393,9.12,Services
PROD-0031,Product JK-598,26.45,Software
PROD-0032,Product MN-106,35.22,Consumables
PROD-0033,Product YG-629,42.92,Software
PROD-0034,Product AF-116,104.49,Consumables
PROD-0035,Product LI-651,50.68,Hardware
PROD-0036,Product TN-979,57.25,Electronics
PROD-0037,Product NK-598,29.88,Services
PROD-0038,Product YI-256,6.53,Electronics
PROD-0039,Product LM-785,47.03,Software
PROD-0040,Product LO-817,131.19,Services
PROD-0041,Product VA-989,109.03,Hardware
PROD-0042,Product FR-344,153.89,Software
PROD-0043,Product IX-876,66.6,Hardware
PROD-0044,Product QS-179,13.0,Software
PROD-0045,Product PN-649,39.23,Consumables
PROD-0046,Product XW-581,189.99,Consumables
PROD-0047,Product FZ-136,106.28,Electronics
PROD-0048,Product EX-621,39.26,Consumables
PROD-0049,Product GN-265,23.3,Hardware
PROD-0050,Product AS-632,38.46,Hardware
PROD-0051,Product XN-650,51.92,Software
PROD-0052,Product CC-771,58.45,Services
PROD-0053,Product SE-475,13.32,Hardware
PROD-0054,Product WR-825,49.31,Software
PROD-0055,Product DF-771,30.25,Services
PROD-0056,Product LS-234,75.9,Electronics
PROD-0057,Product YL-288,72.66,Services
PROD-0058,Product YU-847,62.4,Hardware
PROD-0059,Product HW-250,28.43,Consumables
PROD-0060,Product DB-342,13.97,Software
PROD-0061,Product WT-823,22.17,Hardware
PROD-0062,Product JF-715,47.22,Software
PROD-0063,Product JP-352,43.28,Hardware
PROD-0064,Product HX-587,15.39,Services
PROD-0065,Product QD-783,82.83,Hardware
PROD-0066,Product GA-256,9.63,Electronics
PROD-0067,Product TF-965,126.13,Consumables
PROD-0068,Product NM-142,62.65,Software
PROD-0069,Product PB-935,34.55,Services
PROD-0070,Product KZ-230,2.61,Services
PROD-0071,Product GC-353,52.86,Software
PROD-0072,Product KQ-949,107.64,Software
PROD-0073,Product RW-318,29.17,Electronics
PROD-0074,Product OM-432,50.88,Electronics
PROD-0075,Product HV-246,21.06,Consumables
PROD-0076,Product WF-326,24.82,Electronics
PROD-0077,Product LG-504,16.94,Consumables
PROD-0078,Product NP-436,53.41,Services
PROD-0079,Product PD-273,31.24,Electronics
PROD-0080,Product TH-562,24.11,Services
PROD-0081,Product MV-821,8.46,Software
PROD-0082,Product KA-722,54.93,Services
PROD-0083,Product KT-102,32.16,Electronics
PROD-0084,Product AX-844,7.37,Hardware
PROD-0085,Product VI-808,36.96,Hardware
PROD-0086,Product NX-469,38.43,Electronics
PROD-0087,Product VA-806,20.58,Hardware
PROD-0088,Product SI-975,82.81,Consumables
PROD-0089,Product DP-444,54.79,Software
PROD-0090,Product PS-402,253.83,Services
PROD-0091,Product TW-252,51.4,Hardware
PROD-0092,Product VE-161,7.4,Consumables
PROD-0093,Product CG-313,54.18,Electronics
PROD-0094,Product FT-748,218.8,Services
PROD-0095,Product RC-372,15.58,Consumables
PROD-0096,Product US-651,10.4,Hardware
PROD-0097,Product KC-544,3.6,Consumables
PROD-0098,Product DP-447,16.94,Consumables
PROD-0099,Product XL-798,157.48,Hardware
PROD-0100,Product QJ-225,22.55,Software
PROD-0101,Product DK-883,15.98,Software
PROD-0102,Product KX-897,28.4,Services
PROD-0103,Product VU-325,20.21,Hardware
PROD-0104,Product ON-436,10.08,Hardware
PROD-0105,Product KC-752,5.95,Services
PROD-0106,Product XV-628,63.48,Electronics
PROD-0107,Product TK-146,247.77,Software
PROD-0108,Product EE-328,90.88,Software
PROD-0109,Product XA-844,8.92,Electronics
PROD-0110,Product TF-422,13.55,Electronics
PROD-0111,Product NS-630,235.42,Hardware
PROD-0112,Product PU-485,39.98,Hardware
PROD-0113,Product TE-657,146.42,Hardware
PROD-0114,Product NB-316,110.28,Consumables
PROD-0115,Product AG-646,11.1,Software
PROD-0116,Product UO-261,3.34,Electronics
PROD-0117,Product AJ-486,30.95,Software
PROD-0118,Product JQ-441,112.48,Software
PROD-0119,Product TB-402,80.55,Software
PROD-0120,Product FE-114,58.8,Consumables
PROD-0121,Product MV-124,216.99,Hardware
PROD-0122,Product UE-879,6.04,Software
PROD-0123,Product LM-796,22.11,Hardware
PROD-0124,Product BK-333,0.66,Hardware
PROD-0125,Product BI-784,33.43,Services
PROD-0126,Product ZK-371,8.36,Electronics
PROD-0127,Product JP-633,84.43,Consumables
PROD-0128,Product AF-806,21.11,Electronics
PROD-0129,Product GJ-160,525.42,Software
PROD-0130,Product GG-376,26.26,Electronics
