txn_id,date,amount,category,region,payment_method,status,description,vendor_id
TXN-010852,2023-06-09,959.8,Food & Bev,LATAM,check,completed,subscription subscription,V0343
TXN-036992,2024-06-22,311.86,Technology,LATAM,check,completed,subscription subscription,V0350
TXN-046967,2024-11-17,320.17,Travel,US-West,wire,completed,meal travel service travel meal,V0057
TXN-007572,2023-04-22,1578.89,Marketing,US-West,wire,completed,service renewal equipment meal,V0319
TXN-039985,2024-08-07,868.99,Food & Bev,EU-South,crypto,completed,equipment meal subscription,V0291
TXN-032300,2024-04-15,157.42,Operations,EU-South,check,completed,purchase meal service,V0205
TXN-022913,2023-11-30,-1739.48,Legal,US-East,wire,completed,service purchase travel license renewal license,V0234
TXN-010826,2023-06-09,469.08,Operations,APAC,wire,completed,travel license equipment service equipment,V0232
TXN-024497,2023-12-23,179.75,Marketing,LATAM,credit_card,completed,license renewal,V0056
TXN-017864,2023-09-18,431.73,Legal,APAC,credit_card,completed,license equipment service license purchase,V0399
TXN-028094,2024-02-14,724.46,Food & Bev,EU-South,ach,completed,renewal license purchase meal,V0333
TXN-022487,2023-11-24,3068.58,Food & Bev,APAC,check,completed,renewal travel meal subscription meal,V0366
TXN-047300,2024-11-22,66.05,Marketing,EU-North,credit_card,completed,renewal equipment license service renewal subscription,V0137
TXN-012234,2023-06-28,7539.91,Marketing,US-East,check,completed,license purchase purchase travel subscription,V0471
TXN-042716,2024-09-16,2874.77,Marketing,EU-South,check,completed,travel meal service purchase travel subscription,V0290
TXN-028632,2024-02-21,843.78,Marketing,EU-South,credit_card,completed,equipment travel travel license purchase,V0161
TXN-041853,2024-09-03,3756.37,Technology,US-East,wire,completed,service renewal equipment purchase meal,V0226
TXN-017928,2023-09-19,268.4,Operations,APAC,ach,completed,license subscription service,V0316
TXN-045961,2024-11-02,483.69,Payroll,APAC,check,completed,subscription renewal purchase subscription,V0252
TXN-025881,2024-01-12,58.99,Training,US-East,check,completed,purchase license,V0265
TXN-022240,2023-11-21,855.31,Training,EU-South,credit_card,completed,meal meal license,V0125
TXN-007896,2023-04-27,502.82,Payroll,US-East,credit_card,completed,service subscription service,V0466
TXN-000792,2023-01-12,77.23,Legal,EU-South,check,completed,,V0419
TXN-003624,2023-02-23,589.53,Legal,EU-South,crypto,completed,travel meal license renewal travel,V0259
TXN-036927,2024-06-21,210.0,Payroll,US-West,ach,completed,service purchase travel,V0107
TXN-032310,2024-04-15,4288.37,Legal,APAC,wire,pending,subscription meal travel purchase subscription purchase,V0405
TXN-028577,2024-02-21,88.03,Training,US-East,crypto,completed,subscription renewal subscription purchase equipment purchase,V0042
TXN-007099,2023-04-15,687.86,Payroll,US-West,credit_card,completed,purchase subscription travel,V0469
TXN-007667,2023-04-23,83.79,Food & Bev,APAC,credit_card,completed,purchase renewal meal,V0246
TXN-015234,2023-08-11,441.22,Marketing,EU-North,check,completed,equipment meal subscription equipment travel equipment,V0056
TXN-023150,2023-12-03,3530.26,Technology,EU-North,check,completed,equipment equipment,V0452
TXN-015189,2023-08-10,467.74,Technology,US-West,wire,completed,travel service,V0343
TXN-034852,2024-05-22,5049.69,Food & Bev,US-East,ach,completed,equipment purchase renewal purchase travel subscription,V0413
TXN-000906,2023-01-14,848.04,Training,LATAM,check,completed,renewal subscription renewal equipment subscription purchase,V0148
TXN-039328,2024-07-27,18.87,Training,EU-North,crypto,completed,renewal purchase renewal subscription purchase,V0339
TXN-017659,2023-09-15,1591.49,Training,LATAM,ach,completed,meal meal license,V0310
TXN-005522,2023-03-22,6642.33,Marketing,APAC,credit_card,completed,subscription equipment renewal equipment service meal,V0046
TXN-039695,2024-08-02,299.73,Payroll,LATAM,check,completed,license renewal purchase travel,V0281
TXN-031896,2024-04-09,485.25,Payroll,US-East,wire,completed,purchase renewal renewal equipment,V0011
TXN-005709,2023-03-25,428.05,Training,US-East,ach,completed,subscription travel,V0061
TXN-029692,2024-03-09,522.21,Training,LATAM,check,completed,travel equipment meal equipment meal renewal,V0028
TXN-000670,2023-01-10,529.77,Marketing,LATAM,crypto,completed,equipment service purchase purchase meal,V0194
TXN-047767,2024-11-29,285.25,Training,LATAM,credit_card,completed,purchase subscription service service,V0315
TXN-049829,2024-12-29,1714.14,Legal,US-East,crypto,completed,equipment renewal meal travel equipment subscription,V0331
TXN-042500,2024-09-13,40.33,Training,US-East,ach,completed,travel travel service equipment,V0175
TXN-046422,2024-11-09,172.78,Travel,US-West,crypto,completed,travel travel renewal,V0121
TXN-030803,2024-03-25,58.87,Legal,EU-South,ach,completed,renewal equipment travel service travel,V0274
TXN-046155,2024-11-05,74.77,Marketing,US-East,credit_card,completed,service equipment equipment,V0461
TXN-044828,2024-10-16,292.58,Technology,EU-North,credit_card,completed,equipment meal service,V0181
TXN-041199,2024-08-24,144.67,Food & Bev,EU-North,crypto,completed,renewal purchase,V0279
TXN-040782,2024-08-18,1195.06,Travel,EU-South,check,completed,travel equipment purchase license service,V0192
TXN-015764,2023-08-19,131.65,Marketing,LATAM,ach,refunded,purchase travel renewal renewal license,V0284
TXN-030719,2024-03-23,981.31,Payroll,APAC,check,completed,service license subscription,V0298
TXN-022456,2023-11-24,3852.01,Payroll,US-East,ach,pending,travel purchase,V0385
TXN-031290,2024-04-01,40.0,Travel,EU-North,ach,completed,license purchase equipment subscription renewal meal,V0153
TXN-039337,2024-07-27,391.03,Legal,US-West,credit_card,completed,renewal service,V0431
TXN-036274,2024-06-12,73.17,Legal,EU-South,wire,completed,license meal license service,V0042
TXN-023979,2023-12-16,157.32,Marketing,US-West,check,refunded,license renewal purchase subscription subscription license,V0267
TXN-018708,2023-09-30,467.49,Technology,US-East,credit_card,completed,subscription subscription meal service service renewal,V0295
TXN-044393,2024-10-11,6795.19,Legal,APAC,wire,completed,renewal meal equipment travel travel license,V0180
TXN-016069,2023-08-23,117.68,Technology,US-West,ach,completed,subscription meal purchase,V0413
TXN-022172,2023-11-20,127.21,Training,EU-South,check,completed,license equipment renewal equipment purchase travel,V0232
TXN-012410,2023-07-01,873.36,Payroll,APAC,ach,completed,subscription meal meal license subscription renewal,V0271
TXN-046576,2024-11-11,1753.78,Operations,US-West,ach,completed,service service meal equipment subscription equipment,V0254
TXN-030696,2024-03-23,914.66,Operations,EU-North,credit_card,completed,meal equipment,V0214
TXN-000826,2023-01-13,783.1,Technology,EU-South,wire,completed,renewal travel travel,V0024
TXN-031026,2024-03-28,262.23,Technology,EU-South,wire,pending,renewal purchase,V0443
TXN-004036,2023-02-28,537.18,Travel,US-East,ach,completed,meal renewal purchase equipment service,V0399
TXN-042172,2024-09-08,3406.19,Payroll,EU-North,credit_card,completed,travel travel license purchase,V0078
TXN-003548,2023-02-21,3754.28,Training,EU-North,credit_card,completed,equipment renewal,V0340
TXN-013585,2023-07-18,1689.05,Travel,EU-South,credit_card,pending,license equipment,V0021
TXN-005928,2023-03-29,243.87,Travel,LATAM,wire,completed,travel subscription travel,V0274
TXN-019347,2023-10-09,161.92,Marketing,APAC,credit_card,completed,renewal purchase,V0271
TXN-014390,2023-07-29,163.27,Travel,APAC,ach,refunded,subscription renewal meal license,V0310
TXN-033135,2024-04-28,692.37,Food & Bev,APAC,check,completed,travel subscription travel license meal equipment,V0173
TXN-033929,2024-05-09,373.44,Payroll,APAC,wire,completed,subscription license meal purchase,V0148
TXN-015265,2023-08-11,581.95,Marketing,LATAM,crypto,pending,license license subscription,V0478
TXN-039635,2024-08-01,270.08,Travel,US-West,ach,completed,travel service travel travel,V0239
TXN-021439,2023-11-08,67.35,Payroll,US-East,check,completed,purchase subscription equipment,V0479
TXN-020574,2023-10-27,129.65,Marketing,EU-South,check,completed,equipment license meal,V0364
TXN-026869,2024-01-27,396.24,Legal,US-East,crypto,completed,renewal equipment license,V0142
TXN-009145,2023-05-15,390.98,Food & Bev,EU-South,crypto,completed,renewal meal travel,V0026
TXN-034864,2024-05-22,1674.76,Travel,EU-North,credit_card,completed,license purchase service travel equipment,V0302
TXN-036901,2024-06-21,10.19,Legal,US-East,ach,completed,service service service subscription license travel,V0247
TXN-019808,2023-10-16,4303.9,Payroll,LATAM,ach,refunded,service license,V0221
TXN-043411,2024-09-26,85.34,Marketing,EU-North,credit_card,completed,subscription meal subscription equipment subscription equipment,V0176
TXN-046546,2024-11-11,905.44,Payroll,US-East,credit_card,completed,service service,V0425
TXN-045602,2024-10-28,2612.16,Marketing,EU-North,ach,completed,service travel subscription renewal,V0421
TXN-047387,2024-11-23,1011.5,Marketing,APAC,wire,completed,purchase subscription meal,V0429
TXN-017397,2023-09-11,461.45,Operations,EU-North,crypto,completed,equipment renewal subscription license subscription,V0183
TXN-001154,2023-01-18,307.6,Legal,LATAM,crypto,pending,renewal purchase service equipment license,V0499
TXN-027048,2024-01-30,1869.0,Technology,US-East,crypto,completed,renewal equipment renewal equipment meal meal,V0072
TXN-018140,2023-09-22,120.44,Travel,US-West,credit_card,completed,service meal equipment license meal equipment,V0213
TXN-040094,2024-08-08,946.66,Training,US-West,credit_card,completed,renewal purchase travel purchase,V0397
TXN-047598,2024-11-26,176.37,Legal,US-East,credit_card,completed,meal equipment renewal meal,V0197
TXN-020453,2023-10-25,226.28,Operations,APAC,crypto,completed,equipment license equipment meal equipment,V0284
TXN-045705,2024-10-30,1132.13,Technology,APAC,wire,completed,license license purchase travel,V0248
TXN-044275,2024-10-08,222.69,Travel,US-West,wire,completed,equipment subscription meal,V0201
TXN-003433,2023-02-20,-4433.44,Travel,APAC,ach,completed,travel equipment purchase meal travel,V0210
