order_id,customer_id,product,quantity,unit_price,order_date,region,status
1,101,Widget A,2,29.99,2024-01-05,East,completed
2,102,Gadget B,1,49.99,2024-01-08,West,completed
3,101,Widget A,1,29.99,2024-01-12,East,completed
4,103,Service C,1,199.00,2024-01-15,East,pending
5,104,Widget A,5,29.99,2024-01-20,West,completed
6,102,Gadget B,2,49.99,2024-01-25,West,completed
7,105,Widget A,3,29.99,2024-02-01,East,completed
8,101,Service C,1,199.00,2024-02-05,East,completed
9,106,Gadget B,1,49.99,2024-02-10,West,refunded
10,103,Widget A,2,29.99,2024-02-15,East,completed
11,104,Gadget B,3,49.99,2024-02-20,West,completed
12,107,Service C,1,199.00,2024-02-25,East,pending
13,102,Widget A,4,29.99,2024-03-01,West,completed
14,108,Gadget B,2,49.99,2024-03-05,East,completed
15,105,Service C,1,199.00,2024-03-10,East,completed
16,101,Widget A,1,29.99,2024-03-15,East,cancelled
17,109,Gadget B,1,49.99,2024-03-20,West,completed
18,103,Widget A,3,29.99,2024-03-25,East,completed
19,110,Service C,2,199.00,2024-03-28,West,completed
20,104,Widget A,2,29.99,2024-03-30,West,completed
