sensor_id,avg_temp_c,min_temp_c,max_temp_c,stddev_temp_c,reading_count
SENSOR-021,22.279,-99.0,99.9,7.7303,1995
SENSOR-019,22.2606,-99.0,99.9,6.6608,2034
SENSOR-027,22.2314,-40.0,99.9,6.5723,2013
SENSOR-003,22.2121,-99.0,99.9,6.8158,1953
SENSOR-006,22.21,-40.0,99.9,6.6227,2035
SENSOR-039,22.1975,-99.0,99.9,7.9805,1963
SENSOR-008,22.1484,-99.0,99.9,8.3023,1960
SENSOR-032,22.1437,-99.0,99.9,8.0275,1960
SENSOR-024,22.1323,-99.0,99.9,8.4466,1978
SENSOR-049,22.1117,-99.0,99.9,7.0215,1934
SENSOR-018,22.0937,-99.0,99.9,6.8963,2025
SENSOR-014,22.0913,-99.0,99.9,8.159,1963
SENSOR-036,22.0638,-99.0,99.9,8.358,2046
SENSOR-043,22.0613,-40.0,99.9,6.4449,1990
SENSOR-040,22.0513,-99.0,99.9,8.8094,1974
SENSOR-016,22.0384,-99.0,99.9,7.563,1993
SENSOR-035,22.0327,-99.0,99.9,7.0768,1979
SENSOR-033,22.0268,-99.0,99.9,7.1786,1967
SENSOR-002,22.0267,-99.0,99.9,6.4439,2004
SENSOR-042,22.0184,-99.0,99.9,7.7651,2007
SENSOR-041,22.0138,-99.0,99.9,7.4584,1969
SENSOR-010,22.0134,-99.0,99.9,9.4953,2003
SENSOR-001,22.002,-99.0,99.9,6.9794,2035
SENSOR-023,21.9972,-99.0,99.9,7.1125,1956
SENSOR-038,21.9878,-99.0,99.9,7.2694,2026
SENSOR-004,21.9798,-99.0,99.9,8.8094,2024
SENSOR-007,21.9761,-99.0,99.9,7.6381,1984
SENSOR-037,21.9597,-99.0,99.9,8.8289,1999
SENSOR-020,21.9533,-99.0,99.9,7.2113,2111
SENSOR-028,21.9406,-99.0,99.9,9.508,2011
SENSOR-031,21.9366,-99.0,99.9,8.4478,2059
SENSOR-012,21.9191,-99.0,99.9,8.8174,2044
SENSOR-034,21.9176,-99.0,99.9,7.6039,2066
SENSOR-030,21.917,-99.0,99.9,7.7948,1984
SENSOR-029,21.9146,-99.0,85.0,7.0931,1954
SENSOR-048,21.9039,-99.0,99.9,7.6927,2077
SENSOR-013,21.9021,-99.0,99.9,7.8617,1956
SENSOR-046,21.8765,-99.0,99.9,7.6069,1976
SENSOR-045,21.8566,-99.0,99.9,9.2076,2047
SENSOR-005,21.8363,-99.0,99.9,9.2098,1954
SENSOR-022,21.8305,-99.0,99.9,8.6003,2037
SENSOR-011,21.8155,-99.0,99.9,7.9373,1958
SENSOR-025,21.7725,-99.0,99.9,7.3199,1934
SENSOR-017,21.7645,-99.0,99.9,7.5572,2046
SENSOR-015,21.7433,-99.0,99.9,9.893,1985
SENSOR-026,21.7208,-99.0,99.9,8.095,1958
SENSOR-050,21.7153,-99.0,99.9,7.7399,2042
SENSOR-009,21.671,-99.0,99.9,7.9412,1976
SENSOR-047,21.6501,-99.0,99.9,8.313,1997
SENSOR-044,21.5267,-99.0,99.9,10.8128,2059
