sensor_id,timestamp,temperature,humidity,pressure,battery_pct
S001,2024-01-01 00:00:00,22.1,45.2,1013.25,98
S001,2024-01-01 01:00:00,21.8,45.5,1013.20,98
S001,2024-01-01 02:00:00,21.5,46.0,1013.15,97
S001,2024-01-01 03:00:00,21.2,46.3,1013.10,97
S001,2024-01-01 04:00:00,20.9,46.8,1013.05,97
S001,2024-01-01 05:00:00,20.5,47.2,1013.00,96
S001,2024-01-01 06:00:00,20.8,47.0,1013.05,96
S001,2024-01-01 07:00:00,21.5,46.5,1013.10,96
S001,2024-01-01 08:00:00,22.3,45.8,1013.20,95
S001,2024-01-01 09:00:00,23.1,44.9,1013.25,95
S001,2024-01-01 10:00:00,24.0,44.0,1013.30,95
S001,2024-01-01 11:00:00,24.8,43.2,1013.35,94
S001,2024-01-01 12:00:00,25.5,42.5,1013.40,94
S001,2024-01-01 13:00:00,25.9,42.0,1013.35,94
S001,2024-01-01 14:00:00,99.9,41.8,1013.30,93
S001,2024-01-01 15:00:00,25.2,42.2,1013.25,93
S001,2024-01-01 16:00:00,24.5,43.0,1013.20,93
S001,2024-01-01 17:00:00,23.8,43.8,1013.15,92
S001,2024-01-01 18:00:00,23.0,44.5,1013.10,92
S001,2024-01-01 19:00:00,22.5,45.0,1013.05,92
S001,2024-01-01 20:00:00,22.0,45.5,1013.00,91
S001,2024-01-01 21:00:00,21.6,46.0,1012.95,91
S001,2024-01-01 22:00:00,21.3,46.3,1012.90,91
S001,2024-01-01 23:00:00,21.0,46.6,1012.85,90
S002,2024-01-01 00:00:00,19.5,52.0,1012.50,85
S002,2024-01-01 01:00:00,19.2,52.5,1012.45,85
S002,2024-01-01 02:00:00,18.9,53.0,1012.40,84
S002,2024-01-01 03:00:00,18.6,53.5,1012.35,84
S002,2024-01-01 04:00:00,18.3,54.0,1012.30,84
S002,2024-01-01 05:00:00,18.0,54.5,1012.25,83
S002,2024-01-01 06:00:00,18.4,54.2,1012.30,83
S002,2024-01-01 07:00:00,19.0,53.5,1012.40,83
S002,2024-01-01 08:00:00,19.8,52.8,1012.50,82
S002,2024-01-01 09:00:00,20.5,52.0,1012.60,82
S002,2024-01-01 10:00:00,21.2,51.2,1012.70,82
S002,2024-01-01 11:00:00,22.0,50.5,1012.80,81
S002,2024-01-01 12:00:00,22.6,49.8,1012.85,81
S002,2024-01-01 13:00:00,-40.0,49.5,1012.80,81
S002,2024-01-01 14:00:00,22.8,49.2,1012.75,80
S002,2024-01-01 15:00:00,22.3,49.8,1012.70,80
S002,2024-01-01 16:00:00,21.7,50.5,1012.65,80
S002,2024-01-01 17:00:00,21.0,51.2,1012.60,79
S002,2024-01-01 18:00:00,20.4,52.0,1012.55,79
S002,2024-01-01 19:00:00,19.8,52.5,1012.50,79
S002,2024-01-01 20:00:00,19.3,53.0,1012.45,78
S002,2024-01-01 21:00:00,18.9,53.5,1012.40,78
S002,2024-01-01 22:00:00,18.5,54.0,1012.35,78
S002,2024-01-01 23:00:00,18.2,54.3,1012.30,77
